Gene,21.21 Days,37.33 Days,52.96 Days,68.08 Days,83.08 Days,98.08 Days,115 Days,134.96 Days,157.92 Days,180.88 Days,202 Days
A1BG,246.8738224,224.0303738,210.0191885,239.0674321,242.5175136,264.913399,244.2596525,249.3708132,242.81995,227.1035214,240.0454933
A1BG-AS1,114.0846644,96.68446775,102.928446,94.94082117,127.0110623,118.3673145,90.9338926,100.1383881,107.9091509,127.9054516,139.7384743
A1CF,64.17279677,51.40833514,52.93953143,59.90089078,50.00031463,60.66373871,47.99602726,54.23879012,48.03374882,54.08269613,57.54421943
A2M,13.58788035,9.19485231,8.24992031,16.98119118,9.535905075,4.088780993,22.75900828,54.21781655,96.3854872,130.7134646,88.3782855
A2M-AS1,2.885621714,0.5038640385,0.4807319735,0.503745,3.023928527,1.0082425,3.023955235,0,1.033939548,2.051935141,3.056132756
A2ML1,17.47771079,10.8798608,11.44502626,17.99498609,10.87834168,12.01136882,10.37877481,16.32894858,11.98842488,12.56663172,12.08921713
A2MP1,0,0,0,0.500072,0,0,0,0,0,0.4999715,0
A3GALT2,4.49676122,5.997808461,0.9999815,6.497876238,5.505208101,6.011247317,5.508988769,0.999346301,8.504359037,4.009402046,6.004709622
A4GALT,537.2266042,413.5605386,424.1736359,474.2790152,416.892409,424.6008077,389.3112637,431.9091892,386.6497091,343.1978059,399.6183558
A4GNT,8.494668439,8.492503097,8.994494623,7.493900657,8.498521294,17.50402244,8.001335408,11.49911501,11.50406609,13.50967213,14.00315123
AA06,0,0,0,0,0,0,0,0,0,0,0.5062385
AAAS,606.4321553,502.9691996,441.293202,432.6843681,423.1662708,407.9482447,376.9071817,386.7983818,352.3699969,379.6317774,439.7806115
AACS,601.9255508,520.5958027,510.90165,428.1214767,381.5690988,321.5526569,312.933784,254.059681,221.2195357,277.7407107,268.846349
AACSP1,103.4099455,100.7796149,97.7949443,96.64272435,98.42452184,127.1839425,96.6201176,110.3760247,95.54148398,122.6240942,128.3800655
AADAC,0,0,0,0.4998475,0.500168173,0.999822783,0,0,0,0,0
AADACL2,75.42885611,59.08389713,69.39422695,85.40576972,76.14878692,61.97762991,56.64558065,45.406483,52.64205626,40.54737702,57.06835838
AADACL2-AS1,10.49589143,12.4226807,8.38551125,8.865299503,14.23446085,9.500676695,9.907052927,10.1416961,14.55357994,6.623675,2.464483682
AADACL3,26.50142049,17.99855945,21.98922366,26.98970563,18.50051109,14.99942705,22.50242274,23.53056571,23.51995856,16.01811649,11.00694346
AADACL4,0,0,0.5001385,0.5000575,0,0,0,0.500267672,0,0.501079836,0
AADAT,212.064462,158.9882393,166.4263472,162.9886661,149.083737,166.8219696,139.7852889,165.8116216,171.5208479,145.5125405,182.1276255
AAGAB,712.8950119,577.0601875,556.3467538,568.2453301,602.8658917,570.9641304,534.6799679,520.8652516,507.7276418,606.1584399,557.3903621
AAK1,5454.166337,4603.920005,4199.56282,4720.58075,4757.859647,4494.149513,4419.12796,4119.747069,4305.186713,4563.944885,4843.830584
AAMDC,139.5710672,126.8588002,118.3754137,141.3251542,142.3921152,132.0571505,136.6096114,127.8351256,117.5356082,136.7653074,142.4574091
AAMP,515.9605308,471.6937542,434.7258626,426.6058813,426.3975585,428.4887459,404.8897071,348.0163951,355.0009918,396.3538691,408.5501704
AANAT,10.29224556,9.517176306,6.894497155,14.36734309,6.947974928,3.795691165,3.304255577,2.929841525,5.721029818,7.158855629,3.084410097
AAR2,483.9219219,440.1041448,416.4515364,404.3044244,428.4124717,451.1699055,445.9292771,457.3357989,410.5615281,428.2080147,477.4134854
AARD,53.66120012,51.32755123,51.24716265,65.62616229,44.17201383,34.66381871,54.50589816,43.62761242,43.68729854,54.88328857,54.50947811
AARS1,4111.826151,3610.479813,3562.938789,3814.552029,4101.285524,3992.48933,3492.399248,3670.317741,3851.260583,3912.133382,4216.705124
AARS2,319.1494064,317.1281499,287.7107623,327.2786949,401.9718645,368.6893169,337.8347592,344.6684715,303.6765063,303.4323043,300.5614219
AARSD1,124.8103352,127.0812888,114.0255494,90.19804075,109.1420761,100.9498105,96.9158894,87.99554835,77.87130801,107.2075178,98.78468495
AASDH,227.6829276,202.7205648,185.5441099,223.3492846,274.074884,229.1464825,219.8826811,213.9838979,233.7411772,280.5876623,250.7180661
AASDHPPT,611.2615318,570.8568764,534.5992555,551.7183545,579.9816347,567.9973161,549.0363374,478.4632355,514.8137294,600.5924725,587.7513591
AASS,808.9604281,687.5775374,664.0078779,648.7145061,599.74846,545.0878819,444.1597965,389.097547,326.7229076,348.659054,329.4945393
AATBC,65.91101705,66.90010107,39.90025627,57.3983036,54.42500457,46.43434164,51.43208334,37.00070043,41.47216877,40.50617423,36.47537618
AATF,514.9266983,419.6260602,386.0396356,389.5617413,406.837323,386.3411327,362.3242106,336.4680552,322.4383624,359.1886103,369.4242717
AATK,8.514175231,9.513192025,6.008027337,7.520513571,12.52304799,5.510165301,6.510179739,3.009263608,6.014189088,3.008249686,4.509568105
ABALON,69.83929314,66.52999221,47.94806209,49.27494609,61.50012752,71.25790026,58.13632791,62.05626095,56.84434972,66.84327525,92.21529635
ABAT,95.57764115,80.75537564,91.64997338,104.520131,110.2747791,103.9819506,87.73439962,96.81411304,98.76555716,143.8039349,145.9618713
ABCA1,1827.905652,1842.396575,2670.651932,2394.644632,2843.561435,3020.230066,2317.746196,2440.269797,1910.066009,1668.646991,1434.487052
ABCA10,122.1452845,108.8608787,155.3353548,190.129509,248.0940485,284.4179985,253.7581803,221.789542,244.8726916,160.1716985,150.0084146
ABCA11P,40.54795031,54.92316802,53.0751754,61.56867467,53.48991186,67.4055216,67.3231775,47.85001195,70.71540536,85.10805356,89.70016676
ABCA12,19.39775131,16.77114554,16.74804393,16.77003843,15.21223923,9.43741863,12.05805644,15.54799235,11.30130205,13.11947572,17.24214304
ABCA13,65.65286063,86.2527367,99.53624854,91.93187081,92.22390884,72.48492939,158.712943,222.2108375,241.3988786,289.1814454,214.9888205
ABCA17P,2.496498652,1.996987783,1.994466906,1.497417973,3.993801225,1.498261584,1.997626594,3.579757932,2.498975271,2.502120631,1.530955891
ABCA2,1034.588988,990.4640085,1094.562212,1200.711116,1299.9233,1430.046224,1766.886818,2089.935203,2191.261075,2349.895195,2514.73962
ABCA3,39.94582127,22.96568077,21.44866151,29.94246821,33.44367489,25.95683683,34.94952277,38.42353462,41.97059695,63.00787204,63.91976715
ABCA4,11.48421474,11.48380703,11.96939348,13.97323992,25.95872879,17.9735422,20.46910749,16.49960114,30.47888519,23.99771541,33.96492397
ABCA5,1180.519724,880.0042407,1182.550142,1228.624095,1474.865793,1726.866514,1540.436858,1564.27252,1554.282296,1443.987621,1310.40158
ABCA6,210.7206651,191.746874,241.0214937,244.5486223,451.0321194,584.9510788,419.9188445,501.9738884,396.3701686,224.9728649,183.343782
ABCA7,55.92214685,64.40146034,50.36444328,65.37893869,88.35756507,72.38581646,54.91996764,42.9952455,48.47887747,35.4630103,57.94843829
ABCA8,73.62365514,67.30353242,68.31840892,56.12219277,126.1642951,149.6834027,208.411689,208.5646941,244.5023453,180.7973114,114.476489
ABCA9,225.7552829,218.7815586,257.6707392,262.3094428,402.9049594,410.8068873,379.6710534,413.3343976,386.6325804,267.1959197,257.1330726
ABCA9-AS1,0.5182491315,0,0,0,1.587319948,4.295879185,1.052512634,0,0.543162763,1.610184,0
ABCB1,0,1.015632464,0.507917,0,1.016770501,0,0,0,1.0157745,0.5075859715,0.508387
ABCB10,416.9609955,345.0314429,327.2420971,304.0051523,327.1457542,311.6146423,288.6742863,315.9957163,303.8721636,358.9208191,366.2347978
ABCB11,1.89147765,2.550521767,0.5752755,3.452437692,2.271562429,2.28412888,2.408517762,2.584190174,0,4.536326774,2.329894449
ABCB4,63.51275212,21.29915228,8.165874675,7.502662802,5.993423242,3.839294011,2.948333158,5.780083456,7.684656562,11.07114129,12.53653985
